NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR
SalvageValue,0.0,0,AUT,,,,,,,,,,01PV,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,02WIND,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,03HYDROror,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,04RIVER,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,05FOREST,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,06DISHT,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,07HTPMPdis,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,07zCOP1d,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,07zCOP2d,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,08CHPwood,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,09CHPh2,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,10CHPgas,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,11EBLRdis,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,12BBLRdis,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,13H2BLRdis,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,13ySOLARind,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,13zSOLARdis,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,14HTPMPind,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,14zCOP1i,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,14zCOP2i,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,15BBLRind,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,16EHTind,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,17BBLRpro,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,18EBLRpro,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,19H2BLRpro,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,20BIOfuel,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,21FTsyn,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,22PUMPtank,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,22yPUMPind,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,23DAM,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,24HYDROturb,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,25H2electro,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,26H2comp,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,27BATTchrg,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,28INVERT,2019
SalvageValue,0.0,0,AUT,,,,,,,,,,29VBATTchrg,2019
