NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR
TotDiscCostByTech,1818.7579,0,AUT,,,,,,,,,,01PV,2019
TotDiscCostByTech,4565.55,0,AUT,,,,,,,,,,02WIND,2019
TotDiscCostByTech,1122.5614,0,AUT,,,,,,,,,,03HYDROror,2019
TotDiscCostByTech,9.7973499e-07,0,AUT,,,,,,,,,,04RIVER,2019
TotDiscCostByTech,3.7388256e-05,0,AUT,,,,,,,,,,05FOREST,2019
TotDiscCostByTech,2206.6677,0,AUT,,,,,,,,,,06DISHT,2019
TotDiscCostByTech,666.39951,0,AUT,,,,,,,,,,07HTPMPdis,2019
TotDiscCostByTech,1.8062055e-06,0,AUT,,,,,,,,,,07zCOP1d,2019
TotDiscCostByTech,4.5155137e-06,0,AUT,,,,,,,,,,07zCOP2d,2019
TotDiscCostByTech,1222.1686,0,AUT,,,,,,,,,,08CHPwood,2019
TotDiscCostByTech,0.0,0,AUT,,,,,,,,,,09CHPh2,2019
TotDiscCostByTech,1627.5579,0,AUT,,,,,,,,,,10CHPgas,2019
TotDiscCostByTech,30.117967,0,AUT,,,,,,,,,,11EBLRdis,2019
TotDiscCostByTech,122.46876,0,AUT,,,,,,,,,,12BBLRdis,2019
TotDiscCostByTech,-3.640681e-16,0,AUT,,,,,,,,,,13H2BLRdis,2019
TotDiscCostByTech,0.0,0,AUT,,,,,,,,,,13ySOLARind,2019
TotDiscCostByTech,0.0,0,AUT,,,,,,,,,,13zSOLARdis,2019
TotDiscCostByTech,611.48869,0,AUT,,,,,,,,,,14HTPMPind,2019
TotDiscCostByTech,9.1015676e-07,0,AUT,,,,,,,,,,14zCOP1i,2019
TotDiscCostByTech,2.2753919e-06,0,AUT,,,,,,,,,,14zCOP2i,2019
TotDiscCostByTech,2333.9085,0,AUT,,,,,,,,,,15BBLRind,2019
TotDiscCostByTech,57.077598,0,AUT,,,,,,,,,,16EHTind,2019
TotDiscCostByTech,1486.0687,0,AUT,,,,,,,,,,17BBLRpro,2019
TotDiscCostByTech,42.907464,0,AUT,,,,,,,,,,18EBLRpro,2019
TotDiscCostByTech,-7.6181421e-16,0,AUT,,,,,,,,,,19H2BLRpro,2019
TotDiscCostByTech,1062.8237,0,AUT,,,,,,,,,,20BIOfuel,2019
TotDiscCostByTech,505.83328,0,AUT,,,,,,,,,,21FTsyn,2019
TotDiscCostByTech,0.0011928349,0,AUT,,,,,,,,,,22PUMPtank,2019
TotDiscCostByTech,1.8757316e-05,0,AUT,,,,,,,,,,22yPUMPind,2019
TotDiscCostByTech,1.8293886e-06,0,AUT,,,,,,,,,,23DAM,2019
TotDiscCostByTech,245.57707,0,AUT,,,,,,,,,,24HYDROturb,2019
TotDiscCostByTech,0.0,0,AUT,,,,,,,,,,25H2electro,2019
TotDiscCostByTech,0.0,0,AUT,,,,,,,,,,26H2comp,2019
TotDiscCostByTech,2.3927725e-06,0,AUT,,,,,,,,,,27BATTchrg,2019
TotDiscCostByTech,2.529461e-05,0,AUT,,,,,,,,,,28INVERT,2019
TotDiscCostByTech,9.5937346e-06,0,AUT,,,,,,,,,,29VBATTchrg,2019
