NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR
UseAnn,57750.0,0,AUT,,,BIOwood,,,,,,,,2019
UseAnn,24021.463,0,AUT,,,COP1d,,,,,,,,2019
UseAnn,17606.767,0,AUT,,,COP1i,,,,,,,,2019
UseAnn,7881.4705,0,AUT,,,COP2d,,,,,,,,2019
UseAnn,4404.2482,0,AUT,,,COP2i,,,,,,,,2019
UseAnn,115037.11,0,AUT,,,ELEC,,,,,,,,2019
UseAnn,-5.885771e-10,0,AUT,,,H2,,,,,,,,2019
UseAnn,0.0,0,AUT,,,HEATdis,,,,,,,,2019
UseAnn,5054.7725,0,AUT,,,HEATind,,,,,,,,2019
UseAnn,0.0,0,AUT,,,HEATpro,,,,,,,,2019
UseAnn,71825.82,0,AUT,,,HWdis,,,,,,,,2019
UseAnn,0.0,0,AUT,,,TRANSfuel,,,,,,,,2019
UseAnn,13216.806,0,AUT,,,VELEC,,,,,,,,2019
UseAnn,10366.343,0,AUT,,,WATER,,,,,,,,2019
