NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR
ProdAnn,57750.0,0,AUT,,,BIOwood,,,,,,,,2019
ProdAnn,28612.69,0,AUT,,,COP1d,,,,,,,,2019
ProdAnn,20277.444,0,AUT,,,COP1i,,,,,,,,2019
ProdAnn,28612.69,0,AUT,,,COP2d,,,,,,,,2019
ProdAnn,20277.444,0,AUT,,,COP2i,,,,,,,,2019
ProdAnn,158970.84,0,AUT,,,ELEC,,,,,,,,2019
ProdAnn,0.0,0,AUT,,,H2,,,,,,,,2019
ProdAnn,48242.0,0,AUT,,,HEATdis,,,,,,,,2019
ProdAnn,52198.706,0,AUT,,,HEATind,,,,,,,,2019
ProdAnn,54953.201,0,AUT,,,HEATpro,,,,,,,,2019
ProdAnn,72942.83,0,AUT,,,HWdis,,,,,,,,2019
ProdAnn,43097.165,0,AUT,,,TRANSelec,,,,,,,,2019
ProdAnn,21246.0,0,AUT,,,TRANSfuel,,,,,,,,2019
ProdAnn,10099.552,0,AUT,,,WATER,,,,,,,,2019
